female|nonwhite|gender|race|resid_income|scf_income
1|0|Female|White|24941.468008762728|49100.0
0|0|Male|White|-27872.336017216563|11500.0
0|0|Male|White|-36772.33601721656|2600.0
0|0|Male|Asian-Pac-Islander|5481.2144504578755|44853.55
0|0|Male|White|2027.663982783437|41400.0
0|0|Male|White|-848.336017216563|38524.0
1|0|Female|White|2635.4680087627275|26794.0
0|0|Male|White|27060.663982783437|66433.0
0|0|Male|White|-5591.336017216563|33781.0
0|0|Male|White|-8322.336017216563|31050.0
1|0|Female|White|-21038.531991237272|3120.0
0|0|Male|White|-8496.336017216563|30876.0
0|0|Male|White|-35506.33601721656|3866.0
1|0|Female|White|-18956.531991237272|5202.0
0|0|Male|White|20813.663982783437|60186.0
0|0|Male|White|16113.663982783437|55486.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Male|White|22837.663982783437|62210.0
0|0|Male|White|-6692.336017216563|32680.0
0|0|Male|White|1737.663982783437|41110.0
1|0|Female|White|-3985.5319912372725|20173.0
0|0|Male|White|-11822.336017216563|27550.0
0|0|Male|White|-13372.336017216563|26000.0
1|0|Female|White|-10508.531991237272|13650.0
1|0|Female|White|-16270.531991237272|7888.0
0|0|Male|White|-5322.336017216563|34050.0
0|0|Male|White|-21835.336017216563|17537.0
0|0|Male|White|-6022.336017216563|33350.0
1|0|Female|White|4101.468008762728|28260.0
0|0|Male|White|-18337.336017216563|21035.0
0|0|Male|White|-19649.336017216563|19723.0
0|0|Male|White|18494.663982783437|57867.0
0|0|Male|White|19206.663982783437|58579.0
0|0|Male|White|27627.663982783437|67000.0
0|0|Male|White|-21172.336017216563|18200.0
0|0|Male|White|8075.663982783437|47448.0
1|0|Female|White|-7156.531991237272|17002.0
0|0|Male|White|-29772.336017216563|9600.0
0|0|Male|White|38327.66398278344|77700.0
0|0|Male|White|-24812.336017216563|14560.0
0|0|Male|White|-27670.336017216563|11702.0
1|0|Female|White|-21078.531991237272|3080.0
0|0|Male|White|-21472.336017216563|17900.0
0|0|Male|White|-32594.336017216563|6778.0
0|0|Male|White|-28192.336017216563|11180.0
0|0|Male|White|-20652.336017216563|18720.0
0|0|Male|White|-30376.336017216563|8996.0
0|0|Male|White|-1072.336017216563|38300.0
1|0|Female|White|-22658.531991237272|1500.0
1|0|Female|White|-21458.531991237272|2700.0
0|0|Male|White|-35372.33601721656|4000.0
0|0|Male|White|60626.66398278344|99999.0
