female|nonwhite|Sex|Race|resid_LSAT|resid_UGPA|scf_LSAT|scf_UGPA
1|0|Female|White|1.8238988085793082|-0.23222224933800772|39.0|3.1
1|0|Female|White|-1.1761011914206918|-0.3322222493380078|36.0|3.0
0|0|Male|White|-7.784812516190421|-0.10705669103024418|30.0|3.1
0|0|Male|NonWhite|5.853745619422824|-0.7880694613867387|43.639|2.419
1|0|Female|White|-0.1761011914206918|0.0677777506619921|37.0|3.4
1|0|Female|White|-7.176101191420692|0.2677777506619923|30.0|3.6
0|0|Male|White|-1.7848125161904207|0.3929433089697558|36.0|3.6
0|0|Male|White|-0.7848125161904207|-0.5070566910302441|37.0|2.7
1|0|Female|White|-0.1761011914206918|-0.7322222493380077|37.0|2.6
0|0|Male|White|-6.784812516190421|0.3929433089697558|31.0|3.6
0|0|Male|White|3.2151874838095793|-0.007056691030244089|41.0|3.2
0|0|Male|White|-2.7848125161904207|-0.10705669103024418|35.0|3.1
1|0|Female|White|-2.176101191420692|-0.13222224933800764|35.0|3.2
0|0|Male|White|-2.7848125161904207|-0.30705669103024436|35.0|2.9
0|0|Male|White|3.2151874838095793|-0.9070566910302444|41.0|2.3
0|0|Male|White|-7.784812516190421|0.09294330896975556|30.0|3.3
1|0|Female|White|-1.1761011914206918|-0.3322222493380078|36.0|3.0
0|0|Male|White|2.2151874838095793|0.6929433089697556|40.0|3.9
0|0|Male|White|-1.7848125161904207|0.19294330896975564|36.0|3.4
0|0|Male|White|-8.78481251619042|-0.5070566910302441|29.0|2.7
0|0|Male|White|-0.7848125161904207|-0.007056691030244089|37.0|3.2
0|0|Male|White|-7.784812516190421|-0.10705669103024418|30.0|3.1
0|0|Male|White|2.2151874838095793|-0.10705669103024418|40.0|3.1
0|0|Male|NonWhite|-2.146254380577176|0.11193053861326119|35.639|3.319
1|0|Female|White|-0.1761011914206918|0.2677777506619923|37.0|3.6
0|0|Male|NonWhite|-4.146254380577176|-0.18806946138673908|33.639|3.019
0|0|Male|White|-3.7848125161904207|-0.40705669103024444|34.0|2.8
0|0|Male|White|-2.7848125161904207|-0.20705669103024427|35.0|3.0
0|0|Male|White|2.2151874838095793|0.19294330896975564|40.0|3.4
0|0|Male|White|-1.7848125161904207|-0.6070566910302442|36.0|2.6
0|0|Male|White|-8.78481251619042|-0.30705669103024436|29.0|2.9
0|0|Male|White|-2.7848125161904207|-0.7070566910302443|35.0|2.5
0|0|Male|White|-5.784812516190421|0.19294330896975564|32.0|3.4
1|0|Female|White|-1.1761011914206918|-0.6322222493380076|36.0|2.7
0|0|Male|White|-1.7848125161904207|0.09294330896975556|36.0|3.3
0|0|Male|White|-1.7848125161904207|-0.7070566910302443|36.0|2.5
0|0|Male|White|0.2151874838095793|0.3929433089697558|38.0|3.6
0|0|Male|White|-1.7848125161904207|0.3929433089697558|36.0|3.6
0|0|Male|White|-5.784812516190421|-0.007056691030244089|32.0|3.2
1|0|Female|White|-10.176101191420692|0.1677777506619922|27.0|3.5
0|0|Male|White|-1.7848125161904207|-0.8070566910302444|36.0|2.4
1|0|Female|NonWhite|-13.537543055807447|0.08676498030549773|23.639|3.419
1|0|Female|White|-3.176101191420692|0.36777775066199236|34.0|3.7
1|0|Female|White|-2.176101191420692|-0.23222224933800772|35.0|3.1
1|0|Female|NonWhite|-1.537543055807447|0.08676498030549773|35.639|3.419
0|0|Male|White|-1.7848125161904207|-0.40705669103024444|36.0|2.8
0|0|Male|NonWhite|-1.1462543805771759|0.011930538613261099|36.639|3.219
1|0|Female|White|0.8238988085793082|0.36777775066199236|38.0|3.7
0|0|Male|White|-3.7848125161904207|-0.007056691030244089|34.0|3.2
0|0|Male|White|0.2151874838095793|-0.40705669103024444|38.0|2.8
