education-num|hours-per-week|female|nonwhite
13.0|40.0|0|0
13.0|13.0|0|0
9.0|40.0|0|0
7.0|40.0|0|1
13.0|40.0|1|1
14.0|40.0|1|0
5.0|16.0|1|1
9.0|45.0|0|0
14.0|50.0|1|0
13.0|40.0|0|0
10.0|80.0|0|1
13.0|40.0|0|1
13.0|30.0|1|0
12.0|50.0|0|1
11.0|40.0|0|1
4.0|45.0|0|1
9.0|35.0|0|0
9.0|40.0|0|0
7.0|50.0|0|0
14.0|45.0|1|0
16.0|60.0|0|0
9.0|20.0|1|1
5.0|40.0|0|1
7.0|40.0|0|0
9.0|40.0|1|0
13.0|40.0|0|0
9.0|40.0|0|0
10.0|60.0|0|1
9.0|80.0|0|0
9.0|40.0|0|0
12.0|52.0|0|0
10.0|44.0|0|1
13.0|40.0|0|0
10.0|40.0|0|0
10.0|15.0|0|1
7.0|40.0|0|0
10.0|40.0|0|0
9.0|25.0|1|0
10.0|38.0|0|0
12.0|40.0|0|0
5.0|43.0|0|0
13.0|40.0|0|0
13.0|50.0|0|0
9.0|40.0|1|0
9.0|35.0|0|0
13.0|40.0|0|1
9.0|38.0|0|0
14.0|40.0|1|0
11.0|40.0|0|0
11.0|43.0|0|0
10.0|40.0|1|1
9.0|30.0|1|0
15.0|60.0|1|0
13.0|55.0|0|0
9.0|60.0|0|0
10.0|40.0|0|0
3.0|40.0|0|0
11.0|40.0|0|0
9.0|48.0|0|0
9.0|40.0|0|0
13.0|40.0|0|0
4.0|40.0|0|0
9.0|40.0|0|0
16.0|45.0|0|0
10.0|58.0|0|0
9.0|40.0|0|0
10.0|40.0|1|0
9.0|40.0|1|0
10.0|50.0|0|0
10.0|40.0|0|0
10.0|32.0|0|0
13.0|40.0|1|1
13.0|70.0|0|0
10.0|40.0|0|0
10.0|20.0|0|0
9.0|40.0|0|0
12.0|40.0|0|0
6.0|2.0|0|0
7.0|22.0|1|0
4.0|40.0|0|0
9.0|30.0|0|0
13.0|40.0|0|0
9.0|40.0|1|0
9.0|48.0|0|0
9.0|40.0|1|0
9.0|35.0|1|0
9.0|40.0|0|0
14.0|50.0|0|0
5.0|40.0|0|0
16.0|50.0|1|0
11.0|40.0|0|0
10.0|40.0|1|0
10.0|25.0|1|1
9.0|35.0|1|1
13.0|40.0|0|0
10.0|50.0|0|0
16.0|60.0|0|0
10.0|48.0|0|0
12.0|40.0|1|0
9.0|40.0|0|1
14.0|40.0|0|0
13.0|60.0|0|0
14.0|50.0|1|0
10.0|40.0|1|0
9.0|40.0|0|0
9.0|40.0|0|0
6.0|32.0|1|0
7.0|40.0|0|0
9.0|40.0|1|0
9.0|40.0|0|0
13.0|40.0|0|0
15.0|40.0|0|0
9.0|50.0|0|0
10.0|25.0|1|0
9.0|40.0|1|0
5.0|50.0|0|0
10.0|50.0|0|0
11.0|40.0|0|1
10.0|56.0|0|0
9.0|41.0|0|0
10.0|40.0|1|0
13.0|60.0|0|0
13.0|40.0|0|1
13.0|50.0|0|0
10.0|35.0|0|1
13.0|40.0|1|0
10.0|28.0|1|0
12.0|40.0|0|0
9.0|40.0|0|0
10.0|40.0|0|0
12.0|60.0|1|0
9.0|40.0|1|0
9.0|35.0|0|0
13.0|50.0|0|0
12.0|36.0|1|1
14.0|40.0|0|0
9.0|60.0|0|0
11.0|35.0|1|0
10.0|20.0|0|0
10.0|40.0|0|1
9.0|40.0|0|0
10.0|40.0|1|0
10.0|30.0|0|0
11.0|40.0|1|0
10.0|40.0|0|0
9.0|30.0|1|1
10.0|24.0|0|0
9.0|24.0|1|0
7.0|40.0|0|0
10.0|40.0|1|0
10.0|38.0|1|0
9.0|40.0|1|0
13.0|40.0|1|1
9.0|35.0|0|0
9.0|45.0|0|0
9.0|46.0|0|0
13.0|40.0|0|0
10.0|2.0|0|1
9.0|60.0|0|0
13.0|50.0|0|1
2.0|20.0|1|0
9.0|40.0|1|0
14.0|40.0|1|1
9.0|40.0|1|1
14.0|40.0|0|0
10.0|40.0|1|0
12.0|42.0|0|0
14.0|40.0|0|0
7.0|16.0|0|0
11.0|20.0|1|0
9.0|40.0|0|0
9.0|40.0|0|0
10.0|40.0|0|0
13.0|50.0|0|0
13.0|40.0|0|0
9.0|25.0|1|0
9.0|40.0|0|1
9.0|40.0|0|1
9.0|12.0|0|0
13.0|65.0|0|0
10.0|38.0|0|1
10.0|40.0|1|0
10.0|45.0|0|1
4.0|40.0|0|0
10.0|42.0|0|0
9.0|40.0|0|1
13.0|40.0|1|0
13.0|50.0|1|0
14.0|50.0|1|0
