income|female|nonwhite
49100.0|1|0
11500.0|0|0
2600.0|0|0
38997.0|0|1
41400.0|0|0
38524.0|0|0
26794.0|1|0
66433.0|0|0
33781.0|0|0
31050.0|0|0
3120.0|1|0
30876.0|0|0
3866.0|0|0
5202.0|1|0
60186.0|0|0
55486.0|0|0
99999.0|0|0
62210.0|0|0
32680.0|0|0
41110.0|0|0
20173.0|1|0
27550.0|0|0
26000.0|0|0
13650.0|1|0
7888.0|1|0
34050.0|0|0
17537.0|0|0
33350.0|0|0
28260.0|1|0
21035.0|0|0
19723.0|0|0
57867.0|0|0
58579.0|0|0
67000.0|0|0
18200.0|0|0
47448.0|0|0
17002.0|1|0
9600.0|0|0
77700.0|0|0
14560.0|0|0
11702.0|0|0
3080.0|1|0
17900.0|0|0
6778.0|0|0
11180.0|0|0
18720.0|0|0
8996.0|0|0
38300.0|0|0
1500.0|1|0
2700.0|1|0
4000.0|0|0
99999.0|0|0
6456.0|1|0
83000.0|0|0
32200.0|0|0
8780.0|1|0
24575.0|1|0
97084.0|0|0
35131.0|1|0
1921.0|1|0
92788.0|1|0
41604.0|0|0
8000.0|0|0
1100.0|1|0
45808.0|0|0
1800.0|1|0
11615.0|0|0
30618.0|1|0
25220.0|0|0
3500.0|1|0
10000.0|0|0
7478.0|1|0
15610.0|1|0
19228.0|0|0
28465.0|1|0
90431.0|0|0
5529.0|0|0
99999.0|0|0
32100.0|1|0
37000.0|0|0
51700.0|1|0
33000.0|0|0
21020.0|1|0
46020.0|0|0
99999.0|0|0
49850.0|1|0
4807.0|0|0
2021.0|1|0
42791.0|0|0
24000.0|0|0
2000.0|1|0
5010.0|1|0
398.0|1|0
48000.0|0|0
43399.0|0|0
47481.0|0|0
45150.0|1|0
17863.0|0|0
15029.0|0|0
8320.0|0|0
29621.0|0|0
20297.0|0|0
88000.0|0|0
4500.0|0|0
24024.0|0|0
81222.0|1|0
14964.0|0|0
6125.0|1|0
7760.0|0|0
38878.0|0|0
30000.0|0|0
10500.0|1|0
8780.0|0|0
39011.0|1|0
7052.0|1|0
19560.0|0|0
7342.0|1|0
16696.0|1|0
3800.0|0|0
65846.0|0|0
22012.0|0|0
86262.0|1|0
60590.0|1|0
35000.0|0|0
65361.0|0|0
2400.0|1|0
4055.0|1|0
13000.0|1|0
29022.0|1|0
40200.0|1|0
76071.0|1|0
18000.0|0|0
50554.0|0|0
40788.0|0|0
3740.0|1|0
35025.0|1|0
25003.0|1|0
31423.0|0|0
27922.0|0|0
35236.0|0|0
11105.0|1|0
2189.0|0|0
66000.0|0|0
4900.0|0|0
31398.0|0|0
7236.0|1|0
99999.0|0|1
40948.0|0|0
99999.0|0|0
15000.0|0|0
29176.0|0|0
47862.0|0|0
2225.0|0|0
28063.0|0|0
8000.0|1|0
39050.0|0|0
14661.0|1|0
4780.0|1|0
4981.0|1|0
6778.0|0|0
18524.0|1|0
4500.0|0|0
4000.0|0|0
4576.0|1|0
39000.0|0|0
21416.0|1|0
30925.0|0|0
11062.0|1|0
30000.0|0|0
31980.0|0|0
42107.0|0|0
2661.0|1|0
59324.0|0|0
52571.0|0|0
2641.0|1|0
65800.0|0|0
2200.0|0|0
1700.0|0|0
21323.0|0|0
61002.0|1|0
25000.0|0|0
19030.0|0|0
28000.0|0|0
39302.0|0|0
7283.0|1|0
11894.0|0|0
39200.0|0|0
90600.0|0|0
20000.0|0|0
46413.0|0|0
25000.0|0|0
9006.0|1|0
19560.0|0|0
9351.0|1|0
9600.0|0|0
85000.0|0|0
20530.0|0|1
42052.0|0|0
8300.0|0|0
2760.0|0|0
10785.0|1|0
21573.0|0|0
20000.0|0|0
1115.0|1|0
45201.0|0|0
30780.0|0|0
38554.0|0|0
23702.0|1|0
1164.0|1|0
