age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree_enc,sex_enc,race_enc,id,target
31.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0
51.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0
41.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0
32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,0
37.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1
39.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8,0
25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1
47.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,10,0
57.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,11,1
41.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12,0
23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13,1
44.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1
23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,15,1
34.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,16,0
45.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,17,0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1
44.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0
45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1
46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,0
25.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0
36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,0
31.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,24,1
22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,1
28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,1
30.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,27,1
38.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,28,1
32.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,29,1
56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0
27.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,31,0
28.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0
27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,1
