age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree_enc,sex_enc,race_enc,id
31.0,1,0,0,0,0,1.0,1.0,1
25.0,5,0,0,0,0,0.0,1.0,2
51.0,4,0,0,0,1,0.0,0.0,3
41.0,3,0,0,0,1,0.0,0.0,4
32.0,0,0,0,0,1,1.0,1.0,5
37.0,22,0,0,0,0,0.0,1.0,6
36.0,3,0,0,0,1,0.0,0.0,7
39.0,0,0,0,0,1,0.0,1.0,8
25.0,3,0,0,0,0,1.0,0.0,9
47.0,20,0,0,0,1,0.0,1.0,10
57.0,16,0,0,0,1,0.0,0.0,11
41.0,2,0,0,0,0,1.0,1.0,12
23.0,0,0,0,0,1,0.0,1.0,13
44.0,3,0,0,0,1,0.0,0.0,14
23.0,4,0,0,0,1,0.0,0.0,15
34.0,7,0,0,0,1,1.0,0.0,16
45.0,4,0,0,0,0,0.0,1.0,17
66.0,2,0,0,0,0,0.0,0.0,18
44.0,6,0,0,0,1,1.0,1.0,19
45.0,6,0,0,0,0,0.0,0.0,20
46.0,2,0,0,0,1,0.0,0.0,21
25.0,1,0,0,0,1,1.0,1.0,22
36.0,2,0,0,0,0,1.0,0.0,23
31.0,11,0,0,0,1,1.0,0.0,24
22.0,2,0,0,0,1,0.0,0.0,25
28.0,0,0,0,0,0,0.0,1.0,26
30.0,9,0,0,0,1,0.0,1.0,27
38.0,7,0,0,0,1,0.0,1.0,28
32.0,7,0,0,0,1,0.0,0.0,29
56.0,6,0,0,0,0,0.0,0.0,30
27.0,4,0,0,0,0,0.0,1.0,31
28.0,0,0,0,0,1,0.0,1.0,32
27.0,2,0,0,0,1,0.0,0.0,33
43.0,4,0,0,0,1,0.0,0.0,34
24.0,3,0,0,0,1,0.0,0.0,35
22.0,0,0,0,0,1,0.0,1.0,36
27.0,2,0,0,0,0,0.0,0.0,37
49.0,6,0,0,0,1,1.0,0.0,38
34.0,3,0,0,0,0,0.0,1.0,39
49.0,2,0,0,0,0,0.0,0.0,40
24.0,2,0,0,0,1,0.0,0.0,41
27.0,4,0,0,0,1,0.0,1.0,42
24.0,3,0,0,0,1,1.0,1.0,43
54.0,2,0,0,0,1,0.0,0.0,44
24.0,2,0,0,0,1,0.0,0.0,45
37.0,2,0,0,0,1,0.0,0.0,46
69.0,7,0,0,0,1,1.0,0.0,47
47.0,7,0,0,0,0,0.0,0.0,48
43.0,2,0,0,0,0,1.0,0.0,49
29.0,4,0,0,0,0,0.0,1.0,50
30.0,1,0,0,0,0,0.0,1.0,51
27.0,4,0,0,0,1,0.0,0.0,52
24.0,0,0,0,0,0,1.0,1.0,53
29.0,2,0,0,0,1,0.0,0.0,54
43.0,9,0,0,0,1,1.0,0.0,55
38.0,14,0,0,0,1,0.0,1.0,56
29.0,9,0,0,0,1,1.0,1.0,57
33.0,12,0,0,1,0,0.0,1.0,58
53.0,20,0,0,0,1,0.0,1.0,59
43.0,0,0,0,0,1,0.0,1.0,60
33.0,2,0,0,0,0,0.0,0.0,61
22.0,0,0,0,0,0,0.0,1.0,62
39.0,7,0,0,0,1,0.0,1.0,63
31.0,10,0,1,3,1,0.0,1.0,64
47.0,1,0,0,0,0,0.0,1.0,65
26.0,2,0,0,0,0,0.0,1.0,66
47.0,19,0,0,0,1,1.0,1.0,67
33.0,3,0,0,0,1,1.0,1.0,68
22.0,0,0,0,0,1,0.0,1.0,69
58.0,4,0,0,0,1,0.0,0.0,70
21.0,2,0,0,0,1,0.0,0.0,71
22.0,3,0,0,0,1,0.0,1.0,72
29.0,0,0,0,0,1,0.0,1.0,73
27.0,0,0,0,0,1,0.0,1.0,74
55.0,5,0,0,0,1,0.0,1.0,75
28.0,4,0,0,0,1,0.0,0.0,76
60.0,12,0,0,0,1,0.0,1.0,77
33.0,4,0,0,0,1,1.0,0.0,78
21.0,2,0,0,2,1,1.0,0.0,79
25.0,3,0,0,0,0,0.0,0.0,80
28.0,9,0,0,0,1,1.0,0.0,81
36.0,1,0,0,0,0,1.0,1.0,82
56.0,2,0,0,0,1,0.0,0.0,83
25.0,4,0,0,0,1,0.0,0.0,84
26.0,3,0,0,0,1,0.0,0.0,85
30.0,5,0,0,0,0,0.0,0.0,86
29.0,0,0,0,0,0,0.0,1.0,87
45.0,5,0,0,0,1,0.0,0.0,88
24.0,0,0,0,0,1,1.0,1.0,89
37.0,2,0,0,0,0,0.0,0.0,90
23.0,0,0,0,0,0,1.0,1.0,91
28.0,2,0,0,0,1,0.0,1.0,92
41.0,2,0,0,0,1,0.0,0.0,93
28.0,1,0,0,0,1,0.0,1.0,94
50.0,1,0,0,0,1,1.0,1.0,95
20.0,0,0,0,0,1,0.0,1.0,96
24.0,5,1,2,0,0,0.0,0.0,97
22.0,1,0,0,0,0,0.0,1.0,98
28.0,10,0,0,0,1,0.0,1.0,99
28.0,7,0,0,0,1,0.0,1.0,100
27.0,5,0,0,1,1,0.0,1.0,101
27.0,7,0,0,0,0,0.0,0.0,102
30.0,1,0,0,0,1,0.0,1.0,103
38.0,2,0,0,0,1,1.0,0.0,104
21.0,0,0,0,1,1,0.0,1.0,105
61.0,2,0,0,0,0,0.0,0.0,106
31.0,15,0,2,0,1,0.0,1.0,107
29.0,1,0,0,0,0,1.0,1.0,108
27.0,2,0,0,0,1,0.0,1.0,109
33.0,0,0,0,0,1,0.0,1.0,110
47.0,3,0,0,0,1,1.0,0.0,111
23.0,1,0,0,0,1,0.0,1.0,112
30.0,8,0,0,0,1,1.0,1.0,113
28.0,4,0,0,0,1,0.0,1.0,114
34.0,7,0,0,0,1,0.0,0.0,115
46.0,0,0,0,0,0,0.0,1.0,116
29.0,5,0,0,0,1,0.0,0.0,117
22.0,2,0,0,0,1,0.0,0.0,118
24.0,3,0,0,1,1,0.0,0.0,119
24.0,0,0,0,0,1,0.0,1.0,120
30.0,2,0,0,0,1,0.0,0.0,121
32.0,3,0,0,0,0,1.0,0.0,122
29.0,0,0,0,0,1,0.0,1.0,123
32.0,17,0,6,5,1,0.0,1.0,124
30.0,10,0,0,0,0,0.0,1.0,125
21.0,0,0,0,1,1,0.0,1.0,126
48.0,2,0,0,0,1,0.0,0.0,127
22.0,3,0,0,0,1,0.0,0.0,128
45.0,0,0,0,0,0,0.0,1.0,129
40.0,3,0,0,0,1,0.0,0.0,130
26.0,2,0,0,0,1,0.0,0.0,131
29.0,3,0,0,0,1,0.0,0.0,132
57.0,3,0,0,0,1,0.0,0.0,133
20.0,2,0,0,0,0,1.0,0.0,134
27.0,6,1,2,1,0,0.0,1.0,135
26.0,0,0,0,0,0,1.0,1.0,136
26.0,0,0,0,0,1,0.0,1.0,137
46.0,2,0,0,0,1,0.0,0.0,138
32.0,2,0,0,0,1,0.0,0.0,139
22.0,1,0,0,0,1,0.0,1.0,140
50.0,2,0,0,0,0,0.0,0.0,141
37.0,2,0,0,0,0,1.0,0.0,142
57.0,8,0,0,0,0,0.0,1.0,143
20.0,2,0,0,0,1,0.0,0.0,144
62.0,2,0,0,0,1,0.0,0.0,145
61.0,2,0,0,0,0,0.0,0.0,146
27.0,0,0,0,0,0,0.0,1.0,147
19.0,0,0,0,0,1,0.0,1.0,148
67.0,0,0,0,0,0,0.0,1.0,149
42.0,2,0,0,0,0,1.0,0.0,150
45.0,17,0,0,0,1,0.0,1.0,151
24.0,0,0,0,0,1,1.0,1.0,152
39.0,2,0,0,0,1,0.0,0.0,153
59.0,1,0,0,0,1,0.0,1.0,154
36.0,2,0,0,0,0,0.0,1.0,155
34.0,0,0,0,0,0,0.0,1.0,156
53.0,2,0,0,0,0,0.0,0.0,157
35.0,9,0,0,0,1,0.0,1.0,158
42.0,2,0,0,0,1,0.0,1.0,159
26.0,4,0,1,0,0,0.0,1.0,160
29.0,0,0,0,0,1,1.0,1.0,161
39.0,4,0,0,0,1,1.0,0.0,162
28.0,5,0,0,0,1,1.0,1.0,163
59.0,2,0,0,0,0,0.0,0.0,164
55.0,0,0,0,0,1,0.0,1.0,165
27.0,3,0,0,0,0,0.0,1.0,166
20.0,0,0,0,0,1,0.0,1.0,167
33.0,2,0,0,0,1,0.0,1.0,168
42.0,1,0,0,0,1,1.0,1.0,169
35.0,0,0,0,0,0,0.0,1.0,170
34.0,0,0,0,0,1,1.0,1.0,171
30.0,0,0,0,0,1,0.0,1.0,172
28.0,5,0,0,1,0,1.0,0.0,173
25.0,2,0,0,0,0,0.0,1.0,174
68.0,6,0,0,0,0,0.0,1.0,175
49.0,4,0,0,0,0,1.0,0.0,176
33.0,3,0,0,0,0,0.0,0.0,177
31.0,3,0,0,0,0,1.0,0.0,178
26.0,9,0,0,0,0,0.0,1.0,179
31.0,5,0,0,0,1,0.0,0.0,180
30.0,3,0,0,0,0,0.0,1.0,181
42.0,2,0,0,0,0,1.0,0.0,182
37.0,7,0,0,0,1,0.0,1.0,183
24.0,2,0,0,0,1,0.0,1.0,184
25.0,5,0,0,0,0,0.0,1.0,185
46.0,3,0,0,0,0,0.0,0.0,186
23.0,7,0,0,4,1,1.0,0.0,187
30.0,2,0,0,0,0,0.0,0.0,188
54.0,5,0,0,0,1,0.0,0.0,189
30.0,11,0,0,0,1,1.0,0.0,190
33.0,4,0,0,0,1,1.0,0.0,191
38.0,5,0,0,0,1,1.0,0.0,192
28.0,10,0,1,0,1,0.0,1.0,193
48.0,2,0,0,0,1,0.0,0.0,194
55.0,3,0,0,0,0,0.0,0.0,195
41.0,2,0,0,0,1,0.0,1.0,196
43.0,2,0,0,0,0,0.0,0.0,197
37.0,3,0,0,0,0,0.0,1.0,198
50.0,4,0,0,0,0,0.0,1.0,199
38.0,0,0,0,0,0,1.0,1.0,200
54.0,2,0,0,0,0,0.0,0.0,201
28.0,11,0,0,0,1,0.0,0.0,202
20.0,0,0,0,0,1,0.0,1.0,203
23.0,4,0,0,1,1,0.0,0.0,204
52.0,4,0,0,0,0,0.0,0.0,205
61.0,12,0,0,0,1,0.0,1.0,206
21.0,0,0,0,0,1,1.0,1.0,207
40.0,10,0,0,0,1,0.0,0.0,208
23.0,4,0,1,0,1,0.0,1.0,209
49.0,14,0,0,0,0,1.0,1.0,210
48.0,2,0,0,0,1,1.0,0.0,211
27.0,8,0,0,0,1,0.0,1.0,212
34.0,19,0,6,1,0,0.0,1.0,213
22.0,4,0,0,0,1,1.0,1.0,214
19.0,2,3,0,0,1,0.0,1.0,215
59.0,1,0,0,0,1,0.0,1.0,216
28.0,8,0,0,0,0,0.0,0.0,217
30.0,17,0,0,0,1,0.0,1.0,218
28.0,5,1,1,0,1,0.0,1.0,219
62.0,3,0,0,0,0,1.0,0.0,220
22.0,1,0,0,0,0,0.0,1.0,221
21.0,0,0,0,0,1,0.0,1.0,222
22.0,2,0,0,0,0,0.0,1.0,223
36.0,7,0,0,0,1,0.0,0.0,224
39.0,19,2,2,1,1,0.0,1.0,225
54.0,4,0,0,0,1,0.0,1.0,226
23.0,0,0,0,0,1,0.0,1.0,227
22.0,4,0,0,0,1,0.0,0.0,228
20.0,2,0,0,1,1,0.0,0.0,229
43.0,4,0,0,0,0,0.0,0.0,230
53.0,2,0,0,0,0,0.0,0.0,231
21.0,0,0,0,1,1,0.0,1.0,232
29.0,16,0,0,1,1,0.0,1.0,233
43.0,3,0,0,0,0,0.0,0.0,234
53.0,3,0,0,0,0,1.0,0.0,235
36.0,1,0,0,0,0,0.0,1.0,236
29.0,13,0,1,0,1,0.0,1.0,237
30.0,5,0,0,0,0,1.0,0.0,238
56.0,0,0,0,0,1,0.0,1.0,239
28.0,11,0,1,0,1,0.0,1.0,240
22.0,1,0,0,0,1,0.0,1.0,241
21.0,2,0,1,0,1,0.0,1.0,242
36.0,0,0,0,0,1,0.0,1.0,243
25.0,2,0,0,0,1,0.0,1.0,244
26.0,10,0,0,0,1,0.0,1.0,245
22.0,1,0,0,0,0,1.0,1.0,246
33.0,5,0,0,0,1,0.0,0.0,247
34.0,11,0,0,4,1,0.0,1.0,248
30.0,8,0,0,0,0,0.0,1.0,249
25.0,2,0,0,0,0,0.0,0.0,250
39.0,2,0,0,0,0,0.0,0.0,251
19.0,1,0,0,0,1,1.0,1.0,252
21.0,2,0,0,0,0,0.0,0.0,253
45.0,2,0,0,0,1,1.0,1.0,254
21.0,5,0,2,0,1,0.0,0.0,255
46.0,11,0,0,0,0,0.0,0.0,256
20.0,3,0,1,0,1,0.0,0.0,257
33.0,3,0,0,0,1,0.0,0.0,258
43.0,15,0,0,0,0,0.0,1.0,259
27.0,3,0,0,0,0,0.0,1.0,260
29.0,2,1,0,0,1,0.0,1.0,261
21.0,2,0,0,0,1,0.0,0.0,262
36.0,2,0,0,0,1,0.0,0.0,263
36.0,10,0,0,0,0,0.0,0.0,264
26.0,4,0,0,0,1,0.0,1.0,265
67.0,2,0,0,0,0,0.0,0.0,266
25.0,0,0,0,0,1,0.0,1.0,267
25.0,8,0,0,0,1,1.0,0.0,268
48.0,6,0,0,0,1,0.0,0.0,269
45.0,21,0,0,0,1,0.0,0.0,270
40.0,0,0,0,0,1,0.0,1.0,271
52.0,0,0,0,0,0,0.0,1.0,272
23.0,2,0,1,0,1,0.0,1.0,273
