scenario,family,model,flip_rate,proximity,plausibility,sparsity
baseline,logistic_regression,baseline_logistic_regression,1.0,0.21447278452541607,1.0,0.8
baseline,random_forest,baseline_random_forest,1.0,0.07226045883940621,0.92,0.8175
baseline,xgboost,baseline_xgboost,1.0,0.04782411156095367,0.96,0.8525
augmented_SCM,logistic_regression,augmented_SCM_logistic_regression,1.0,0.20210796221322536,0.94,0.79
augmented_SCM,random_forest,augmented_SCM_random_forest,1.0,0.09891048133153396,0.88,0.8075
augmented_SCM,xgboost,augmented_SCM_xgboost,1.0,0.04763967611336031,0.96,0.845
augmented_update_labels,logistic_regression,augmented_update_labels_logistic_regression,1.0,0.201889338731444,0.94,0.7975
augmented_update_labels,random_forest,augmented_update_labels_random_forest,1.0,0.07389338731443995,0.9,0.815
augmented_update_labels,xgboost,augmented_update_labels_xgboost,1.0,0.0494885290148448,0.96,0.8475
augmented_add_comparators,logistic_regression,augmented_add_comparators_logistic_regression,1.0,0.2033495276653171,0.94,0.795
augmented_add_comparators,random_forest,augmented_add_comparators_random_forest,1.0,0.09011605937921727,0.9,0.81
augmented_add_comparators,xgboost,augmented_add_comparators_xgboost,1.0,0.04680296896086369,0.96,0.855
augmented_add_comparators_bidir,logistic_regression,augmented_add_comparators_bidir_logistic_regression,1.0,0.21303913630229418,1.0,0.8
augmented_add_comparators_bidir,random_forest,augmented_add_comparators_bidir_random_forest,1.0,0.08886099865047234,0.9,0.8025
augmented_add_comparators_bidir,xgboost,augmented_add_comparators_bidir_xgboost,1.0,0.046212325686009886,0.96,0.8575
fl_baseline,lr,baseline_lr,1.0,0.21447278452541607,1.0,0.8
fl_baseline,rf,baseline_rf,1.0,0.07226045883940621,0.92,0.8175
fl_baseline,xgb,baseline_xgb,1.0,0.04782411156095367,0.96,0.8525
fl_eg_dp,lr,eg_dp_lr,1.0,0.18921547458389565,0.94,0.805
fl_eg_dp,rf,eg_dp_rf,0.96,0.06235222672064777,0.94,0.8275
fl_eg_dp,xgb,eg_dp_xgb,0.94,0.04098650472334683,0.96,0.855
fl_eg_eo,lr,eg_eo_lr,0.64,0.16330634278002698,0.9,0.825
fl_eg_eo,rf,eg_eo_rf,0.96,0.061879892037786766,0.94,0.8325
fl_eg_eo,xgb,eg_eo_xgb,0.94,0.0430242914979757,0.96,0.8525
fl_eg_tpr,lr,eg_tpr_lr,0.7,0.1818740440845704,0.9,0.8075
fl_eg_tpr,rf,eg_tpr_rf,0.98,0.06340485829959513,0.94,0.8275
fl_eg_tpr,xgb,eg_tpr_xgb,1.0,0.04474718848403058,0.96,0.85
