scenario,family,model,n_train,accuracy,auc_roc,f1,precision,recall,block,ldp_eps,aug_method
baseline,logistic_regression,baseline_logistic_regression,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,fairness,,
baseline,random_forest,baseline_random_forest,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,fairness,,
baseline,xgboost,baseline_xgboost,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,fairness,,
augmented_SCM,logistic_regression,augmented_SCM_logistic_regression,11106,0.6682847896440129,0.7171352583586627,0.5824847250509165,0.6842105263157895,0.5070921985815603,fairness,,SCM
augmented_SCM,random_forest,augmented_SCM_random_forest,11106,0.6763754045307443,0.7324067038162783,0.6282527881040892,0.66015625,0.599290780141844,fairness,,SCM
augmented_SCM,xgboost,augmented_SCM_xgboost,11106,0.6359223300970874,0.6810093718338399,0.585635359116022,0.6091954022988506,0.5638297872340425,fairness,,SCM
augmented_update_labels,logistic_regression,augmented_update_labels_logistic_regression,5554,0.6521035598705501,0.713209219858156,0.6234676007005254,0.615916955017301,0.6312056737588653,fairness,,update_labels
augmented_update_labels,random_forest,augmented_update_labels_random_forest,5554,0.6682847896440129,0.7090932117527863,0.6397188049209139,0.6341463414634146,0.6453900709219859,fairness,,update_labels
augmented_update_labels,xgboost,augmented_update_labels_xgboost,5554,0.6472491909385113,0.6911305302262749,0.6175438596491228,0.6111111111111112,0.624113475177305,fairness,,update_labels
augmented_add_comparators,logistic_regression,augmented_add_comparators_logistic_regression,8212,0.6699029126213593,0.7224966227625802,0.5659574468085106,0.7074468085106383,0.4716312056737589,fairness,,add_comparators
augmented_add_comparators,random_forest,augmented_add_comparators_random_forest,8212,0.6796116504854369,0.7344330462681526,0.611764705882353,0.6842105263157895,0.5531914893617021,fairness,,add_comparators
augmented_add_comparators,xgboost,augmented_add_comparators_xgboost,8212,0.63915857605178,0.6971990037149611,0.5768500948766604,0.6204081632653061,0.5390070921985816,fairness,,add_comparators
augmented_add_comparators_bidir,logistic_regression,augmented_add_comparators_bidir_logistic_regression,11107,0.6747572815533981,0.7199636946977374,0.5821205821205822,0.7035175879396985,0.49645390070921985,fairness,,add_comparators_bidir
augmented_add_comparators_bidir,random_forest,augmented_add_comparators_bidir_random_forest,11107,0.6812297734627831,0.7335781830462682,0.6233269598470363,0.6763485477178424,0.5780141843971631,fairness,,add_comparators_bidir
augmented_add_comparators_bidir,xgboost,augmented_add_comparators_bidir_xgboost,11107,0.6375404530744336,0.6839222391084093,0.5741444866920152,0.6188524590163934,0.5354609929078015,fairness,,add_comparators_bidir
fl_baseline,lr,baseline_lr,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,fairness,,
fl_baseline,rf,baseline_rf,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,fairness,,
fl_baseline,xgb,baseline_xgb,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,fairness,,
fl_eg_dp,lr,eg_dp_lr,5554,0.6601941747572816,0.7125021107733873,0.5882352941176471,0.6578947368421053,0.5319148936170213,fairness,,
fl_eg_dp,rf,eg_dp_rf,5554,0.6699029126213593,0.7199425869638636,0.6330935251798561,0.6423357664233577,0.624113475177305,fairness,,
fl_eg_dp,xgb,eg_dp_xgb,5554,0.6343042071197411,0.6997635933806147,0.6007067137809187,0.5985915492957746,0.6028368794326241,fairness,,
fl_eg_eo,lr,eg_eo_lr,5554,0.6666666666666666,0.7157210401891252,0.624087591240876,0.6428571428571429,0.6063829787234043,fairness,,
fl_eg_eo,rf,eg_eo_rf,5554,0.6715210355987055,0.7254411516379602,0.6275229357798165,0.6501901140684411,0.6063829787234043,fairness,,
fl_eg_eo,xgb,eg_eo_xgb,5554,0.63915857605178,0.7023070753123943,0.599640933572711,0.6072727272727273,0.5921985815602837,fairness,,
fl_eg_tpr,lr,eg_tpr_lr,5554,0.656957928802589,0.7135891590678825,0.5859375,0.6521739130434783,0.5319148936170213,fairness,,
fl_eg_tpr,rf,eg_tpr_rf,5554,0.6747572815533981,0.7237208713272543,0.6352087114337567,0.6505576208178439,0.6205673758865248,fairness,,
fl_eg_tpr,xgb,eg_tpr_xgb,5554,0.6407766990291263,0.6963758020938872,0.5992779783393501,0.6102941176470589,0.5886524822695035,fairness,,
fl_gs_dp,lr,gs_dp_lr,5554,0.6585760517799353,0.7113095238095237,0.5870841487279843,0.6550218340611353,0.5319148936170213,fairness,,
fl_gs_dp,rf,gs_dp_rf,5554,0.6553398058252428,0.7143595913542722,0.6162162162162163,0.6263736263736264,0.6063829787234043,fairness,,
fl_gs_dp,xgb,gs_dp_xgb,5554,0.63915857605178,0.6942650287065181,0.6053097345132743,0.6042402826855123,0.6063829787234043,fairness,,
fl_gs_eo,lr,gs_eo_lr,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,fairness,,
fl_gs_eo,rf,gs_eo_rf,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,fairness,,
