scenario,family,model,flip_rate,proximity,plausibility,sparsity
baseline,logistic_regression,baseline_logistic_regression,1.0,0.21447278452541607,1.0,0.8
augmented_SCM,logistic_regression,augmented_SCM_logistic_regression,1.0,0.20210796221322536,0.94,0.79
augmented_update_labels,logistic_regression,augmented_update_labels_logistic_regression,1.0,0.20224471434997748,0.92,0.7975
augmented_add_comparators,logistic_regression,augmented_add_comparators_logistic_regression,1.0,0.2033495276653171,0.94,0.795
augmented_add_comparators_bidir,logistic_regression,augmented_add_comparators_bidir_logistic_regression,1.0,0.21303913630229418,1.0,0.8
ldp_baseline_eps1.0,logistic_regression,ldp_baseline_eps1.0_logistic_regression,1.0,0.21549977507872242,1.0,0.8
ldp_SCM_eps1.0,logistic_regression,ldp_SCM_eps1.0_logistic_regression,1.0,0.20297165991902838,0.94,0.795
ldp_update_labels_eps1.0,logistic_regression,ldp_update_labels_eps1.0_logistic_regression,1.0,0.20596491228070174,0.94,0.7925
ldp_add_comparators_eps1.0,logistic_regression,ldp_add_comparators_eps1.0_logistic_regression,1.0,0.20673414304993254,1.0,0.8
ldp_add_comparators_bidir_eps1.0,logistic_regression,ldp_add_comparators_bidir_eps1.0_logistic_regression,1.0,0.20313360323886642,0.94,0.8
