age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree_enc,sex_enc,race_enc,id,target
20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
56.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0
33.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,0
27.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,4,1
56.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1
55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1
31.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1
43.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8,0
25.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,9,1
23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10,1
29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,1
25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12,0
27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1
27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0
37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15,0
21.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,16,1
23.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,17,1
19.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,18,1
48.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,1
26.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,20,1
50.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,21,0
42.0,17.0,3.0,0.0,0.0,1.0,1.0,1.0,22,1
30.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,23,1
41.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0
30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0
32.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,26,1
27.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,27,1
29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,0
21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29,0
43.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,30,0
30.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,31,1
26.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,32,1
26.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,33,1
49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,0
35.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,35,0
21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36,1
29.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,37,1
28.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,38,0
29.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,39,0
37.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,40,0
21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,41,1
23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,0
26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,43,0
47.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,44,1
24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1
19.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,46,1
39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47,1
24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48,1
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0
33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50,0
51.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,51,0
31.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,52,0
26.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,53,1
42.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,54,0
46.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,55,1
21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,56,1
48.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,57,0
30.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,58,1
33.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,59,0
35.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,60,0
55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61,1
36.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,62,1
24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63,1
22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,64,0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65,0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66,0
31.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,67,0
24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,68,0
31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0
34.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,70,1
37.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,71,1
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,1
55.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,73,0
36.0,16.0,3.0,0.0,0.0,1.0,0.0,1.0,74,1
51.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,75,0
24.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,76,1
36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,77,1
29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,78,1
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80,0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81,0
35.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,82,0
62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83,1
20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84,1
32.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,85,1
57.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,86,0
28.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,87,1
45.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,88,0
47.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,89,1
24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90,0
42.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,91,0
35.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,92,0
22.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,93,1
30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0
37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95,1
25.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,96,0
28.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,97,1
35.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,98,0
27.0,11.0,1.0,2.0,0.0,1.0,0.0,1.0,99,0
28.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,100,1
45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,101,0
39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,102,1
25.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,103,0
23.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,104,1
27.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,105,1
44.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,106,0
31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,107,0
26.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,108,1
71.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,109,1
45.0,20.0,1.0,0.0,1.0,0.0,0.0,1.0,110,0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0
23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,112,0
54.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,113,1
27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,0
21.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,115,1
45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116,0
41.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,117,0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0
58.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,119,0
27.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,120,1
50.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,121,0
64.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,122,0
72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0
26.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,124,1
32.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,125,0
33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,126,1
39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,127,1
29.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,128,0
30.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,129,0
56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0
30.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,131,1
55.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,132,0
24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,133,0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,0
21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135,1
29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,136,1
25.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,137,1
20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,138,0
33.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,139,0
51.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,140,0
34.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,141,1
35.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,142,0
31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,143,1
35.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,144,1
42.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,145,0
23.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,146,1
33.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,147,1
34.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,148,0
52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,149,1
22.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,150,1
55.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,151,1
37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,152,0
29.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,153,1
24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,154,0
22.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,155,0
24.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,156,1
30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,157,0
72.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,158,0
38.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,159,0
