sex_enc,race_enc,age,priors_count,id,female,male,nonwhite,resid_priors_count,scf_priors_count
0.0,1.0,20.0,0.0,1,1,0,0,-3.5425564892634878,0
0.0,1.0,56.0,4.0,2,1,0,0,-2.2609464655018527,4
0.0,1.0,33.0,0.0,3,1,0,0,-4.524197314016231,0
0.0,1.0,27.0,8.0,4,1,0,0,3.9288676820234967,8
1.0,1.0,56.0,1.0,5,0,1,0,-3.935846230925355,1
1.0,0.0,55.0,0.0,6,0,1,0,-2.650133041465679,2
0.0,0.0,31.0,5.0,7,1,0,0,2.837026708116734,7
0.0,1.0,43.0,0.0,8,1,0,0,-5.27930564074911,0
1.0,0.0,25.0,2.0,9,0,1,0,1.6151919387329587,4
0.0,0.0,23.0,2.0,10,1,0,0,0.44111336950303737,4
0.0,0.0,29.0,0.0,11,1,0,0,-2.01195162653669,2
0.0,1.0,25.0,0.0,12,1,0,0,-3.920110652629927,0
0.0,0.0,27.0,1.0,13,1,0,0,-0.8609299611901144,3
0.0,1.0,27.0,1.0,14,1,0,0,-3.0711323179765033,1
0.0,0.0,37.0,1.0,15,1,0,0,-1.6160382879229935,3
0.0,0.0,21.0,4.0,16,1,0,0,2.592135034849613,6
0.0,0.0,23.0,2.0,17,1,0,0,0.44111336950303737,4
0.0,1.0,19.0,2.0,18,1,0,0,-1.4670456565901997,2
1.0,1.0,48.0,0.0,19,0,1,0,-4.331759569539052,0
0.0,1.0,26.0,8.0,20,1,0,0,4.004378514696785,8
0.0,1.0,50.0,4.0,21,1,0,0,-1.8078814694621252,4
1.0,1.0,42.0,17.0,22,0,1,0,13.121305426500676,17
0.0,1.0,30.0,14.0,23,1,0,0,9.702335184003633,14
0.0,1.0,41.0,5.0,24,1,0,0,-0.12828397540253356,5
0.0,1.0,30.0,2.0,25,1,0,0,-2.2976648159963666,2
1.0,1.0,32.0,3.0,26,0,1,0,-0.12358624676644503,3
1.0,1.0,27.0,1.0,27,0,1,0,-1.7460320834000056,1
0.0,1.0,29.0,0.0,28,1,0,0,-4.222153983323079,0
0.0,1.0,21.0,0.0,29,1,0,0,-3.618067321936776,0
0.0,1.0,43.0,2.0,30,1,0,0,-3.2793056407491097,2
0.0,1.0,30.0,5.0,31,1,0,0,0.7023351840036334,5
1.0,1.0,26.0,1.0,32,0,1,0,-1.6705212507267175,1
0.0,1.0,26.0,8.0,33,1,0,0,4.004378514696785,8
0.0,0.0,49.0,0.0,34,1,0,0,-3.5221682800024485,2
0.0,1.0,35.0,9.0,35,1,0,0,4.324781020637194,9
1.0,0.0,21.0,0.0,36,0,1,0,-0.08276473057388967,2
0.0,1.0,29.0,7.0,37,1,0,0,2.7778460166769214,7
0.0,1.0,28.0,1.0,38,1,0,0,-3.1466431506497905,1
0.0,1.0,29.0,8.0,39,1,0,0,3.7778460166769214,8
0.0,1.0,37.0,8.0,40,1,0,0,3.173759355290618,8
0.0,1.0,21.0,0.0,41,1,0,0,-3.618067321936776,0
0.0,1.0,23.0,0.0,42,1,0,0,-3.769088987283351,0
0.0,1.0,26.0,0.0,43,1,0,0,-3.9956214853032153,0
0.0,1.0,47.0,7.0,44,1,0,0,1.418651028557739,7
0.0,0.0,24.0,2.0,45,1,0,0,0.3656025368297493,4
1.0,1.0,19.0,1.0,46,0,1,0,-1.1419454220137024,1
0.0,1.0,39.0,1.0,47,1,0,0,-3.9772623100559583,1
0.0,1.0,24.0,0.0,48,1,0,0,-3.844599819956639,0
0.0,0.0,58.0,0.0,49,1,0,0,-4.20176577406204,2
1.0,0.0,33.0,1.0,50,0,1,0,0.01110527734665534,3
0.0,1.0,51.0,4.0,51,1,0,0,-1.8833923021354133,4
0.0,1.0,31.0,9.0,52,1,0,0,4.626824351330345,9
0.0,1.0,26.0,5.0,53,1,0,0,1.0043785146967847,5
0.0,1.0,42.0,1.0,54,1,0,0,-4.203794808075822,1
0.0,1.0,46.0,5.0,55,1,0,0,-0.5058381387689739,5
0.0,1.0,21.0,2.0,56,1,0,0,-1.6180673219367758,2
1.0,1.0,48.0,1.0,57,0,1,0,-3.3317595695390523,1
0.0,1.0,30.0,6.0,58,1,0,0,1.7023351840036334,6
1.0,1.0,33.0,1.0,59,0,1,0,-2.199097079439733,1
1.0,0.0,35.0,4.0,60,0,1,0,2.8600836120000794,6
0.0,0.0,55.0,2.0,61,1,0,0,-1.975233276042176,4
0.0,1.0,36.0,7.0,62,1,0,0,2.249270187963906,7
1.0,0.0,24.0,0.0,63,0,1,0,-0.3092972285937534,2
0.0,1.0,22.0,0.0,64,1,0,0,-3.693578154610063,0
0.0,1.0,26.0,0.0,65,1,0,0,-3.9956214853032153,0
0.0,1.0,45.0,0.0,66,1,0,0,-5.430327306095686,0
1.0,0.0,31.0,2.0,67,0,1,0,1.1621269426932315,4
0.0,1.0,24.0,0.0,68,1,0,0,-3.844599819956639,0
0.0,0.0,31.0,3.0,69,1,0,0,0.837026708116734,5
1.0,0.0,34.0,0.0,70,0,1,0,-1.0644055553266323,2
0.0,1.0,37.0,12.0,71,1,0,0,7.173759355290618,12
0.0,0.0,55.0,0.0,72,1,0,0,-3.975233276042176,2
1.0,1.0,55.0,2.0,73,0,1,0,-2.860335398252068,2
0.0,1.0,36.0,16.0,74,1,0,0,11.249270187963905,16
1.0,0.0,51.0,0.0,75,0,1,0,-2.348089710772527,2
0.0,0.0,24.0,8.0,76,1,0,0,6.3656025368297495,10
0.0,0.0,36.0,1.0,77,1,0,0,-1.5405274552497055,3
0.0,0.0,29.0,1.0,78,1,0,0,-1.01195162653669,3
0.0,0.0,43.0,0.0,79,1,0,0,-3.069103283962721,2
0.0,1.0,70.0,0.0,80,1,0,0,-7.318098122927883,0
0.0,1.0,25.0,0.0,81,1,0,0,-3.920110652629927,0
0.0,0.0,35.0,2.0,82,1,0,0,-0.4650166225764174,4
0.0,0.0,62.0,0.0,83,1,0,0,-4.503809104755192,2
0.0,0.0,20.0,0.0,84,1,0,0,-1.3323541324770989,2
0.0,1.0,32.0,4.0,85,1,0,0,-0.44868648134294276,4
0.0,1.0,57.0,19.0,86,1,0,0,12.66354270182486,19
0.0,1.0,28.0,18.0,87,1,0,0,13.85335684935021,18
0.0,0.0,45.0,2.0,88,1,0,0,-1.2201249493092972,4
0.0,0.0,47.0,2.0,89,1,0,0,-1.3711466146558724,4
1.0,0.0,24.0,0.0,90,0,1,0,-0.3092972285937534,2
0.0,1.0,42.0,8.0,91,1,0,0,2.7962051919241784,8
0.0,1.0,35.0,1.0,92,1,0,0,-3.675218979362806,1
0.0,1.0,22.0,1.0,93,1,0,0,-2.693578154610063,1
0.0,0.0,30.0,2.0,94,1,0,0,-0.08746245920997797,4
0.0,0.0,37.0,0.0,95,1,0,0,-2.6160382879229935,2
0.0,1.0,25.0,2.0,96,1,0,0,-1.9201106526299272,2
0.0,1.0,28.0,5.0,97,1,0,0,0.8533568493502095,5
0.0,1.0,35.0,1.0,98,1,0,0,-3.675218979362806,1
0.0,1.0,27.0,11.0,99,1,0,0,6.928867682023497,11
0.0,1.0,28.0,25.0,100,1,0,0,20.85335684935021,25
0.0,0.0,45.0,2.0,101,1,0,0,-1.2201249493092972,4
1.0,1.0,39.0,0.0,102,0,1,0,-3.6521620754794606,0
0.0,1.0,25.0,3.0,103,1,0,0,-0.9201106526299272,3
0.0,0.0,23.0,10.0,104,1,0,0,8.441113369503038,12
0.0,1.0,27.0,15.0,105,1,0,0,10.928867682023498,15
0.0,1.0,44.0,9.0,106,1,0,0,3.6451835265776023,9
1.0,0.0,31.0,0.0,107,0,1,0,-0.8378730573067685,2
0.0,1.0,26.0,12.0,108,1,0,0,8.004378514696786,12
0.0,0.0,71.0,13.0,109,1,0,0,7.816593401185218,15
0.0,1.0,45.0,20.0,110,1,0,0,14.569672693904314,20
0.0,0.0,49.0,0.0,111,1,0,0,-3.5221682800024485,2
1.0,1.0,23.0,0.0,112,0,1,0,-2.4439887527068542,0
0.0,1.0,54.0,3.0,113,1,0,0,-3.1099248001552766,3
0.0,0.0,27.0,0.0,114,1,0,0,-1.8609299611901144,2
0.0,1.0,21.0,2.0,115,1,0,0,-1.6180673219367758,2
0.0,0.0,45.0,1.0,116,1,0,0,-2.220124949309297,3
1.0,1.0,41.0,0.0,117,0,1,0,-3.8031837408260367,0
0.0,0.0,66.0,0.0,118,1,0,0,-4.805852435448343,2
0.0,0.0,58.0,2.0,119,1,0,0,-2.20176577406204,4
0.0,0.0,27.0,2.0,120,1,0,0,0.13907003880988555,4
0.0,1.0,50.0,3.0,121,1,0,0,-2.8078814694621252,3
0.0,1.0,64.0,0.0,122,1,0,0,-6.8650331268881555,0
0.0,0.0,72.0,1.0,123,1,0,0,-4.2589174314880704,3
0.0,1.0,26.0,6.0,124,1,0,0,2.0043785146967847,6
0.0,1.0,32.0,1.0,125,1,0,0,-3.4486864813429428,1
0.0,0.0,33.0,1.0,126,1,0,0,-1.3139949572298422,3
0.0,0.0,39.0,1.0,127,1,0,0,-1.7670599532695697,3
0.0,1.0,29.0,0.0,128,1,0,0,-4.222153983323079,0
0.0,1.0,30.0,7.0,129,1,0,0,2.7023351840036334,7
