age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree_enc,sex_enc,race_enc,id
20.0,0,0,0,0,0,0.0,1.0,1
56.0,4,0,0,0,1,0.0,1.0,2
33.0,0,0,0,0,1,0.0,1.0,3
27.0,8,0,0,0,1,0.0,1.0,4
56.0,1,0,0,0,1,1.0,1.0,5
55.0,2,0,0,0,0,1.0,0.0,6
31.0,7,0,0,0,1,0.0,0.0,7
43.0,0,0,0,0,1,0.0,1.0,8
25.0,4,0,0,0,1,1.0,0.0,9
23.0,4,0,0,0,1,0.0,0.0,10
29.0,2,0,0,0,1,0.0,0.0,11
25.0,0,0,0,0,1,0.0,1.0,12
27.0,3,0,0,0,0,0.0,0.0,13
27.0,1,0,0,0,0,0.0,1.0,14
37.0,3,0,0,0,1,0.0,0.0,15
21.0,6,0,1,0,0,0.0,0.0,16
23.0,4,0,0,2,1,0.0,0.0,17
19.0,2,3,0,0,1,0.0,1.0,18
48.0,0,0,0,0,1,1.0,1.0,19
26.0,8,0,0,0,0,0.0,1.0,20
50.0,4,0,0,0,0,0.0,1.0,21
42.0,17,3,0,0,1,1.0,1.0,22
30.0,14,0,0,0,1,0.0,1.0,23
41.0,5,0,0,0,0,0.0,1.0,24
30.0,2,0,0,0,0,0.0,1.0,25
32.0,3,0,0,0,1,1.0,1.0,26
27.0,1,0,0,0,1,1.0,1.0,27
29.0,0,0,0,0,0,0.0,1.0,28
21.0,0,0,0,0,1,0.0,1.0,29
43.0,2,0,0,0,1,0.0,1.0,30
30.0,5,0,0,0,1,0.0,1.0,31
26.0,1,0,0,0,1,1.0,1.0,32
26.0,8,0,0,0,1,0.0,1.0,33
49.0,2,0,0,0,1,0.0,0.0,34
35.0,9,0,0,0,1,0.0,1.0,35
21.0,2,0,1,0,0,1.0,0.0,36
29.0,7,0,2,1,1,0.0,1.0,37
28.0,1,0,0,0,1,0.0,1.0,38
29.0,8,0,0,0,0,0.0,1.0,39
37.0,8,0,0,0,1,0.0,1.0,40
21.0,0,0,0,0,1,0.0,1.0,41
23.0,0,0,0,0,0,0.0,1.0,42
26.0,0,0,0,0,1,0.0,1.0,43
47.0,7,0,0,0,1,0.0,1.0,44
24.0,4,0,0,0,0,0.0,0.0,45
19.0,1,0,0,0,1,1.0,1.0,46
39.0,1,0,0,0,0,0.0,1.0,47
24.0,0,0,0,0,0,0.0,1.0,48
58.0,2,0,0,0,0,0.0,0.0,49
33.0,3,0,0,0,0,1.0,0.0,50
51.0,4,0,0,0,0,0.0,1.0,51
31.0,9,0,0,0,1,0.0,1.0,52
26.0,5,0,0,1,1,0.0,1.0,53
42.0,1,0,0,0,1,0.0,1.0,54
46.0,5,0,0,0,1,0.0,1.0,55
21.0,2,0,0,0,0,0.0,1.0,56
48.0,1,0,0,0,1,1.0,1.0,57
30.0,6,0,0,0,1,0.0,1.0,58
33.0,1,0,0,0,0,1.0,1.0,59
35.0,6,0,0,0,1,1.0,0.0,60
55.0,4,0,0,0,0,0.0,0.0,61
36.0,7,0,0,0,1,0.0,1.0,62
24.0,2,0,0,0,0,1.0,0.0,63
22.0,0,0,0,0,1,0.0,1.0,64
26.0,0,0,0,0,0,0.0,1.0,65
45.0,0,0,0,0,0,0.0,1.0,66
31.0,4,0,0,0,1,1.0,0.0,67
24.0,0,0,0,0,1,0.0,1.0,68
31.0,5,0,0,0,0,0.0,0.0,69
34.0,2,0,0,0,1,1.0,0.0,70
37.0,12,0,0,0,1,0.0,1.0,71
55.0,2,0,0,0,0,0.0,0.0,72
55.0,2,0,0,0,1,1.0,1.0,73
36.0,16,3,0,0,1,0.0,1.0,74
51.0,2,0,0,0,1,1.0,0.0,75
24.0,10,0,0,2,1,0.0,0.0,76
36.0,3,0,0,0,1,0.0,0.0,77
29.0,3,0,0,0,1,0.0,0.0,78
43.0,2,0,0,0,0,0.0,0.0,79
